YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,1,0,0.0,6.52,55.05,99.6,3.14,-999.0,0.0,90.0
2019,1,1,1,0.0,5.99,56.24,99.58,3.04,-999.0,0.0,90.0
2019,1,1,2,0.0,5.58,56.61,99.55,2.91,-999.0,0.0,90.0
2019,1,1,3,0.0,5.29,56.48,99.5,2.8,-999.0,0.0,90.0
2019,1,1,4,0.0,5.12,55.87,99.47,2.7,-999.0,0.0,90.0
2019,1,1,5,0.0,4.89,55.86,99.48,2.68,-999.0,0.0,90.0
2019,1,1,6,0.0,4.57,56.41,99.55,2.72,-999.0,0.0,90.0
2019,1,1,7,90.78,6.13,55.56,99.63,2.41,0.43,0.0,81.44
2019,1,1,8,254.93,9.72,41.94,99.71,2.92,0.56,0.0,71.16
2019,1,1,9,409.8,12.27,36.98,99.75,2.06,0.62,0.0,62.14
2019,1,1,10,525.55,16.25,29.68,99.69,1.87,0.66,0.0,55.44
2019,1,1,11,530.47,19.84,21.39,99.58,2.77,0.61,0.0,51.99
2019,1,1,12,534.9,20.68,20.68,99.49,2.74,0.62,0.0,52.43
2019,1,1,13,472.75,20.72,21.07,99.44,2.74,0.61,0.0,56.67
2019,1,1,14,350.9,20.22,22.67,99.41,2.58,0.57,0.0,63.96
2019,1,1,15,194.65,18.11,39.85,99.41,1.71,0.48,0.0,73.38
2019,1,1,16,45.3,15.3,44.09,99.44,2.15,0.32,0.0,84.22
2019,1,1,17,0.0,13.22,42.3,99.47,2.41,-999.0,0.0,90.0
2019,1,1,18,0.0,12.48,42.66,99.52,2.46,-999.0,0.0,90.0
2019,1,1,19,0.0,11.82,43.75,99.52,2.56,-999.0,0.0,90.0
2019,1,1,20,0.0,11.09,44.35,99.5,2.59,-999.0,0.0,90.0
2019,1,1,21,0.0,10.88,43.99,99.5,2.45,-999.0,0.0,90.0
2019,1,1,22,0.0,10.5,44.73,99.47,2.41,-999.0,0.0,90.0
2019,1,1,23,0.0,10.33,44.98,99.45,2.27,-999.0,0.0,90.0
2019,1,2,0,0.0,10.7,45.37,99.46,1.98,-999.0,0.0,90.0
2019,1,2,1,0.0,10.33,47.26,99.46,2.0,-999.0,0.0,90.0
2019,1,2,2,0.0,9.84,49.22,99.43,2.04,-999.0,0.0,90.0
2019,1,2,3,0.0,9.59,50.98,99.42,1.95,-999.0,0.0,90.0
2019,1,2,4,0.0,9.09,52.59,99.42,1.94,-999.0,0.0,90.0
2019,1,2,5,0.0,8.51,53.13,99.45,1.82,-999.0,0.0,90.0
2019,1,2,6,0.0,8.5,53.07,99.54,1.47,-999.0,0.0,90.0
2019,1,2,7,82.15,9.03,54.72,99.64,1.3,0.39,0.0,81.49
2019,1,2,8,247.73,11.39,48.31,99.73,1.76,0.55,0.0,71.18
2019,1,2,9,412.62,13.94,41.69,99.78,1.74,0.63,0.0,62.14
2019,1,2,10,538.12,17.28,32.91,99.74,1.72,0.67,0.0,55.41
2019,1,2,11,501.2,20.02,26.54,99.64,1.82,0.58,0.0,51.92
2019,1,2,12,498.52,21.68,23.57,99.52,1.85,0.58,0.0,52.33
2019,1,2,13,425.85,22.08,23.28,99.45,1.64,0.55,0.0,56.55
2019,1,2,14,314.83,21.63,24.91,99.42,1.29,0.51,0.0,63.83
2019,1,2,15,186.25,20.29,35.39,99.42,0.7,0.46,0.0,73.25
2019,1,2,16,43.45,19.1,31.64,99.45,0.25,0.3,0.0,84.08
2019,1,2,17,0.0,17.86,32.12,99.48,0.47,-999.0,0.0,90.0
2019,1,2,18,0.0,16.55,33.98,99.55,1.11,-999.0,0.0,90.0
2019,1,2,19,0.0,14.54,39.45,99.59,1.8,-999.0,0.0,90.0
2019,1,2,20,0.0,12.8,44.18,99.6,2.42,-999.0,0.0,90.0
2019,1,2,21,0.0,11.01,49.23,99.59,2.87,-999.0,0.0,90.0
2019,1,2,22,0.0,9.67,53.18,99.58,3.11,-999.0,0.0,90.0
2019,1,2,23,0.0,8.78,55.48,99.58,3.12,-999.0,0.0,90.0
2019,1,3,0,0.0,8.06,57.38,99.6,3.08,-999.0,0.0,90.0
2019,1,3,1,0.0,7.49,58.75,99.63,3.02,-999.0,0.0,90.0
2019,1,3,2,0.0,6.97,59.6,99.62,2.96,-999.0,0.0,90.0
2019,1,3,3,0.0,6.39,61.17,99.58,2.95,-999.0,0.0,90.0
2019,1,3,4,0.0,5.81,62.99,99.59,3.01,-999.0,0.0,90.0
2019,1,3,5,0.0,5.28,64.49,99.63,3.1,-999.0,0.0,90.0
2019,1,3,6,0.0,4.88,65.42,99.68,3.18,-999.0,0.0,90.0
2019,1,3,7,72.82,6.95,58.64,99.74,3.08,0.35,0.0,81.53
2019,1,3,8,217.65,10.07,48.27,99.82,4.16,0.48,0.0,71.2
