YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,1,0,0.0,10.29,22.73,99.57,3.27,-999.0,0.0,90.0
2019,1,1,1,0.0,9.8,23.75,99.57,3.17,-999.0,0.0,90.0
2019,1,1,2,0.0,9.43,24.75,99.55,3.0,-999.0,0.0,90.0
2019,1,1,3,0.0,9.04,25.68,99.52,2.92,-999.0,0.0,90.0
2019,1,1,4,0.0,8.64,26.52,99.49,2.93,-999.0,0.0,90.0
2019,1,1,5,0.0,8.64,26.51,99.48,2.89,-999.0,0.0,90.0
2019,1,1,6,0.0,8.86,26.14,99.54,2.57,-999.0,0.0,90.0
2019,1,1,7,34.4,9.85,24.34,99.64,1.96,0.34,0.0,85.92
2019,1,1,8,201.65,12.79,20.38,99.74,1.74,0.55,0.0,74.76
2019,1,1,9,387.85,15.25,17.19,99.76,2.06,0.64,0.0,64.67
2019,1,1,10,540.03,18.34,14.12,99.7,1.85,0.7,0.0,56.51
2019,1,1,11,635.28,22.06,10.48,99.57,1.16,0.72,0.0,51.22
2019,1,1,12,683.75,23.48,9.77,99.44,1.52,0.75,0.0,49.74
2019,1,1,13,635.92,24.2,9.5,99.33,1.73,0.74,0.0,52.38
2019,1,1,14,522.17,24.42,9.52,99.24,1.81,0.71,0.0,58.6
2019,1,1,15,350.8,24.15,9.83,99.19,1.82,0.65,0.0,67.4
2019,1,1,16,154.23,22.25,12.28,99.21,1.42,0.52,0.0,77.91
2019,1,1,17,12.7,20.05,13.11,99.27,1.61,0.29,0.0,88.24
2019,1,1,18,0.0,18.8,14.03,99.32,1.83,-999.0,0.0,90.0
2019,1,1,19,0.0,17.66,15.24,99.36,2.03,-999.0,0.0,90.0
2019,1,1,20,0.0,17.12,15.85,99.36,1.91,-999.0,0.0,90.0
2019,1,1,21,0.0,17.12,15.93,99.35,1.48,-999.0,0.0,90.0
2019,1,1,22,0.0,16.94,16.19,99.35,1.07,-999.0,0.0,90.0
2019,1,1,23,0.0,16.37,16.96,99.36,1.11,-999.0,0.0,90.0
2019,1,2,0,0.0,15.46,18.16,99.38,1.49,-999.0,0.0,90.0
2019,1,2,1,0.0,14.29,19.88,99.39,1.95,-999.0,0.0,90.0
2019,1,2,2,0.0,13.51,21.22,99.38,2.17,-999.0,0.0,90.0
2019,1,2,3,0.0,13.05,22.29,99.36,2.17,-999.0,0.0,90.0
2019,1,2,4,0.0,12.54,23.49,99.36,2.21,-999.0,0.0,90.0
2019,1,2,5,0.0,12.1,24.75,99.41,2.19,-999.0,0.0,90.0
2019,1,2,6,0.0,11.8,25.95,99.48,2.05,-999.0,0.0,90.0
2019,1,2,7,34.92,11.76,27.09,99.57,1.99,0.35,0.0,85.96
2019,1,2,8,208.55,14.33,24.29,99.67,2.17,0.56,0.0,74.79
2019,1,2,9,398.55,16.6,22.02,99.71,2.14,0.66,0.0,64.68
2019,1,2,10,552.17,20.36,20.93,99.67,2.54,0.71,0.0,56.49
2019,1,2,11,647.83,23.69,21.53,99.57,2.75,0.73,0.0,51.17
2019,1,2,12,688.95,25.09,21.17,99.46,2.57,0.76,0.0,49.65
2019,1,2,13,640.33,25.79,20.48,99.37,2.69,0.74,0.0,52.27
2019,1,2,14,523.38,25.77,20.26,99.34,3.03,0.71,0.0,58.47
2019,1,2,15,354.15,25.1,20.84,99.37,3.32,0.65,0.0,67.26
2019,1,2,16,158.5,22.51,24.48,99.42,2.52,0.53,0.0,77.77
2019,1,2,17,13.62,18.38,31.46,99.5,3.27,0.3,0.0,88.16
2019,1,2,18,0.0,16.81,34.36,99.59,3.5,-999.0,0.0,90.0
2019,1,2,19,0.0,15.73,36.02,99.62,3.47,-999.0,0.0,90.0
2019,1,2,20,0.0,14.87,37.03,99.62,3.37,-999.0,0.0,90.0
2019,1,2,21,0.0,13.99,38.19,99.61,3.27,-999.0,0.0,90.0
2019,1,2,22,0.0,13.21,39.13,99.6,3.26,-999.0,0.0,90.0
2019,1,2,23,0.0,12.5,39.78,99.6,3.29,-999.0,0.0,90.0
2019,1,3,0,0.0,11.87,40.22,99.62,3.23,-999.0,0.0,90.0
2019,1,3,1,0.0,11.31,40.56,99.65,3.14,-999.0,0.0,90.0
2019,1,3,2,0.0,10.73,41.03,99.64,3.16,-999.0,0.0,90.0
2019,1,3,3,0.0,10.18,41.53,99.6,3.28,-999.0,0.0,90.0
2019,1,3,4,0.0,9.72,42.03,99.61,3.35,-999.0,0.0,90.0
2019,1,3,5,0.0,9.36,42.53,99.64,3.36,-999.0,0.0,90.0
2019,1,3,6,0.0,9.06,43.57,99.71,3.3,-999.0,0.0,90.0
2019,1,3,7,33.05,9.69,42.2,99.8,3.1,0.34,0.0,86.0
2019,1,3,8,200.3,13.39,33.57,99.86,3.8,0.54,0.0,74.82
2019,1,3,9,383.65,15.98,28.77,99.93,3.06,0.64,0.0,64.68
2019,1,3,10,523.58,19.58,23.49,99.92,2.16,0.67,0.0,56.46
2019,1,3,11,592.08,22.68,19.98,99.82,1.71,0.67,0.0,51.11
2019,1,3,12,663.3,23.87,17.6,99.71,1.1,0.73,0.0,49.55
2019,1,3,13,587.55,24.54,15.91,99.6,0.99,0.68,0.0,52.14
2019,1,3,14,491.25,24.75,14.88,99.51,1.32,0.66,0.0,58.33
2019,1,3,15,317.9,24.37,14.75,99.47,1.62,0.58,0.0,67.12
2019,1,3,16,134.75,22.5,16.92,99.47,1.46,0.45,0.0,77.63
2019,1,3,17,12.7,19.41,19.9,99.5,2.07,0.27,0.0,88.09
2019,1,3,18,0.0,17.7,21.77,99.55,2.46,-999.0,0.0,90.0
2019,1,3,19,0.0,16.72,23.08,99.59,2.62,-999.0,0.0,90.0
2019,1,3,20,0.0,16.11,23.91,99.6,2.75,-999.0,0.0,90.0
