YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,PRECTOTCORR,WS10M,PS,RH2M,SZA,ALLSKY_KT
2019,1,1,0,0.0,7.58,0.0,2.43,91.76,46.46,90.0,-999.0
2019,1,1,1,0.0,7.72,0.0,2.49,91.73,43.62,90.0,-999.0
2019,1,1,2,0.0,7.86,0.0,2.38,91.68,40.7,90.0,-999.0
2019,1,1,3,0.0,8.28,0.0,2.25,91.63,37.12,90.0,-999.0
2019,1,1,4,0.0,9.05,0.0,1.97,91.61,33.69,90.0,-999.0
2019,1,1,5,0.0,9.27,0.0,1.51,91.63,30.06,90.0,-999.0
2019,1,1,6,0.0,9.45,0.0,1.22,91.68,27.98,90.0,-999.0
2019,1,1,7,67.9,9.93,0.0,1.15,91.77,30.85,83.27,0.41
2019,1,1,8,204.85,12.57,0.0,1.03,91.84,46.3,73.15,0.5
2019,1,1,9,279.3,15.72,0.0,1.25,91.87,28.05,64.53,0.46
2019,1,1,10,407.3,16.92,0.0,2.12,91.84,27.12,58.2,0.55
2019,1,1,11,471.95,16.98,0.0,2.57,91.77,28.59,54.96,0.58
2019,1,1,12,350.35,16.52,0.0,2.84,91.71,30.82,55.37,0.44
2019,1,1,13,313.98,15.44,0.0,2.71,91.68,35.94,59.35,0.44
2019,1,1,14,204.0,13.67,0.0,2.11,91.67,47.03,66.26,0.36
2019,1,1,15,104.97,11.5,0.0,1.58,91.69,62.12,75.28,0.29
2019,1,1,16,20.42,10.08,0.0,1.79,91.72,60.0,85.65,0.19
2019,1,1,17,0.0,9.25,0.0,2.51,91.74,60.19,90.0,-999.0
2019,1,1,18,0.0,9.0,0.01,2.83,91.75,61.1,90.0,-999.0
2019,1,1,19,0.0,8.5,0.03,2.88,91.76,60.96,90.0,-999.0
2019,1,1,20,0.0,8.38,0.05,2.85,91.75,60.39,90.0,-999.0
2019,1,1,21,0.0,8.12,0.08,2.99,91.75,61.46,90.0,-999.0
2019,1,1,22,0.0,7.84,0.09,3.42,91.74,64.85,90.0,-999.0
2019,1,1,23,0.0,7.81,0.11,3.78,91.72,66.21,90.0,-999.0
2019,1,2,0,0.0,7.72,0.21,3.98,91.69,66.74,90.0,-999.0
2019,1,2,1,0.0,7.51,0.24,3.83,91.67,67.12,90.0,-999.0
2019,1,2,2,0.0,7.38,0.26,3.44,91.65,66.29,90.0,-999.0
2019,1,2,3,0.0,7.95,0.19,2.76,91.66,61.3,90.0,-999.0
2019,1,2,4,0.0,8.83,0.12,2.17,91.69,56.21,90.0,-999.0
2019,1,2,5,0.0,8.66,0.06,2.17,91.7,56.34,90.0,-999.0
2019,1,2,6,0.0,7.98,0.04,2.5,91.74,59.72,90.0,-999.0
2019,1,2,7,34.22,8.33,0.05,2.58,91.81,64.24,83.3,0.21
2019,1,2,8,104.7,11.42,0.05,2.12,91.9,64.44,73.16,0.26
2019,1,2,9,172.98,14.05,0.07,2.89,91.97,46.95,64.52,0.29
2019,1,2,10,209.25,15.48,0.07,3.06,91.96,40.89,58.16,0.28
2019,1,2,11,240.45,16.49,0.11,2.94,91.89,37.75,54.89,0.3
2019,1,2,12,218.02,16.74,0.09,2.94,91.8,37.12,55.27,0.27
2019,1,2,13,204.65,16.5,0.13,2.93,91.76,37.99,59.23,0.28
2019,1,2,14,186.75,15.8,0.18,2.76,91.75,40.13,66.12,0.33
2019,1,2,15,112.9,14.43,0.18,2.12,91.77,47.94,75.14,0.31
2019,1,2,16,25.75,11.46,0.17,1.69,91.8,62.58,85.53,0.23
2019,1,2,17,0.0,9.89,0.15,1.62,91.84,59.29,90.0,-999.0
2019,1,2,18,0.0,8.77,0.09,1.82,91.89,62.15,90.0,-999.0
2019,1,2,19,0.0,7.77,0.05,2.16,91.92,65.84,90.0,-999.0
2019,1,2,20,0.0,7.33,0.01,2.28,91.91,66.84,90.0,-999.0
2019,1,2,21,0.0,7.26,0.01,2.23,91.9,66.43,90.0,-999.0
2019,1,2,22,0.0,7.23,0.01,2.16,91.87,65.97,90.0,-999.0
2019,1,2,23,0.0,7.12,0.0,2.13,91.87,65.89,90.0,-999.0
2019,1,3,0,0.0,6.82,0.0,2.19,91.88,66.67,90.0,-999.0
2019,1,3,1,0.0,6.44,0.0,2.3,91.89,67.54,90.0,-999.0
2019,1,3,2,0.0,5.86,0.0,2.49,91.86,69.32,90.0,-999.0
2019,1,3,3,0.0,5.36,0.0,2.59,91.8,69.76,90.0,-999.0
2019,1,3,4,0.0,5.22,0.0,2.53,91.78,67.61,90.0,-999.0
2019,1,3,5,0.0,5.19,0.0,2.46,91.8,64.61,90.0,-999.0
2019,1,3,6,0.0,5.02,0.0,2.48,91.84,62.21,90.0,-999.0
2019,1,3,7,79.75,6.01,0.0,2.38,91.89,61.88,83.33,0.49
2019,1,3,8,273.38,10.33,0.0,1.95,91.97,58.11,73.17,0.67
2019,1,3,9,420.58,13.5,0.0,1.96,92.03,43.09,64.5,0.69
2019,1,3,10,548.03,15.55,0.0,2.41,92.02,37.15,58.11,0.74
2019,1,3,11,588.5,16.71,0.0,3.39,91.95,34.86,54.81,0.73
2019,1,3,12,565.88,17.04,0.0,4.08,91.87,34.79,55.16,0.7
2019,1,3,13,427.73,16.57,0.0,4.33,91.79,36.28,59.1,0.59
2019,1,3,14,328.73,15.79,0.0,4.29,91.75,39.01,65.99,0.57
2019,1,3,15,208.35,14.46,0.0,3.75,91.73,45.78,75.0,0.57
